Patent Number,PageRank,Default Expire Day,Time to Expire
8637028,32.225146978022096,2029-10-09,"5331 days, 00:00:00"
8637040,0.7237499999999999,2029-09-21,"5313 days, 00:00:00"
8637041,1.2874821428571424,2032-06-19,"6315 days, 00:00:00"
8637053,0.7545625,2028-12-03,"5021 days, 00:00:00"
8637234,0.25625,2025-04-08,"3686 days, 00:00:00"
8637013,0.5325,2032-03-21,"6225 days, 00:00:00"
8637039,0.6812499999999999,2030-12-23,"5771 days, 00:00:00"
8632781,0.7221562499999998,2031-01-11,"5790 days, 00:00:00"
8632780,1.6799999999999995,2025-04-29,"3707 days, 00:00:00"
8628780,0.21375,2029-01-07,"5056 days, 00:00:00"
8628779,0.6812499999999998,2026-09-08,"4204 days, 00:00:00"
8628781,0.5325,2031-04-01,"5870 days, 00:00:00"
8623374,0.304275,2031-08-29,"6020 days, 00:00:00"
8623816,0.2235576923076923,2027-09-26,"4587 days, 00:00:00"
8623609,1.2155357142857142,2031-06-21,"5951 days, 00:00:00"
8623348,0.7237499999999999,2029-03-27,"5135 days, 00:00:00"
8617563,0.21375,2032-01-30,"6174 days, 00:00:00"
8617561,0.21375,2026-06-20,"4124 days, 00:00:00"
8617562,2.5057142857142853,2030-02-17,"5462 days, 00:00:00"
8613932,1.0736887799700296,2032-05-30,"6295 days, 00:00:00"
8613931,0.575,2029-06-12,"5212 days, 00:00:00"
8609605,1.1954999999999998,2030-03-17,"5490 days, 00:00:00"
8609110,0.8512499999999998,2032-06-20,"6316 days, 00:00:00"
8609090,5.6962500000000045,2024-07-16,"3420 days, 00:00:00"
8603486,0.7775390624999998,2032-04-23,"6258 days, 00:00:00"
8603487,0.6086395089285713,2029-04-14,"5153 days, 00:00:00"
8597659,0.8485056508715644,2031-08-29,"6020 days, 00:00:00"
8597656,2.095562615375076,2031-12-13,"6126 days, 00:00:00"
8592556,0.34124999999999994,2028-09-25,"4952 days, 00:00:00"
8591908,0.40499999999999997,2023-09-18,"3118 days, 00:00:00"
8591906,0.0,2026-06-15,"4119 days, 00:00:00"
8591914,2.9734166666666684,2029-07-09,"5239 days, 00:00:00"
8591907,0.0,2028-09-16,"4943 days, 00:00:00"
8591913,0.40499999999999997,2032-01-23,"6167 days, 00:00:00"
8586709,0.405,2028-09-25,"4952 days, 00:00:00"
8586538,0.0,2023-04-28,"2975 days, 00:00:00"
8580269,0.33062499999999995,2031-05-04,"5903 days, 00:00:00"
8580274,1.0424999999999998,2030-02-10,"5455 days, 00:00:00"
8574592,0.4535714285714285,2032-09-13,"6401 days, 00:00:00"
8574577,5.579835416666673,2031-07-14,"5974 days, 00:00:00"
8574584,1.112625,2032-01-20,"6164 days, 00:00:00"
8575308,1.1025401041666665,2031-03-22,"5860 days, 00:00:00"
8574591,2.548416666666668,2031-11-15,"6098 days, 00:00:00"
8574586,1.0029806919642856,2032-06-12,"6308 days, 00:00:00"
8574585,1.0029806919642856,2032-06-12,"6308 days, 00:00:00"
8563001,2.8700228291183465,2029-11-04,"5357 days, 00:00:00"
8563516,0.2976495535714285,2027-12-26,"4678 days, 00:00:00"
8563506,0.2809326923076923,2032-12-04,"6483 days, 00:00:00"
8563008,0.27749999999999997,2028-04-17,"4791 days, 00:00:00"
8562988,1.4588352103025188,2030-04-06,"5510 days, 00:00:00"
8563000,0.40499999999999997,2028-05-23,"4827 days, 00:00:00"
8563508,0.7449999999999999,2033-03-19,"6588 days, 00:00:00"
8557955,1.8074999999999994,2027-10-16,"4607 days, 00:00:00"
8557242,5.696710416666666,2031-07-14,"5974 days, 00:00:00"
8557243,5.696710416666666,2031-07-14,"5974 days, 00:00:00"
8557957,0.7217927631578945,2031-06-09,"5939 days, 00:00:00"
8551492,0.7130364583333332,2028-05-30,"4834 days, 00:00:00"
8551493,0.8405364583333331,2028-08-15,"4911 days, 00:00:00"
8551943,0.2809326923076923,2032-09-17,"6405 days, 00:00:00"
8551500,0.21375,2028-05-08,"4812 days, 00:00:00"
8551480,2.302804257921566,2030-08-30,"5656 days, 00:00:00"
8545812,0.4056815762362637,2032-05-25,"6290 days, 00:00:00"
8541230,8.280992584339925,2031-05-16,"5915 days, 00:00:00"
8541179,1.4141899392342858,2028-12-19,"5037 days, 00:00:00"
8541006,1.0849999999999997,2028-07-30,"4895 days, 00:00:00"
8541008,0.5021428571428571,2022-09-13,"2748 days, 00:00:00"
8541551,0.5111437499999999,2032-09-11,"6399 days, 00:00:00"
8540999,0.25571875,2024-08-30,"3465 days, 00:00:00"
8541649,0.40499999999999997,2029-07-21,"5251 days, 00:00:00"
8535690,1.0042499999999999,2032-05-15,"6280 days, 00:00:00"
8535681,0.9787499999999998,2029-10-15,"5337 days, 00:00:00"
8535942,0.8863124999999998,2031-09-23,"6045 days, 00:00:00"
8535680,0.5866960021683674,2029-03-19,"5127 days, 00:00:00"
8529904,0.2862768571428571,2027-07-06,"4505 days, 00:00:00"
8529905,1.3179910714285712,2030-04-08,"5512 days, 00:00:00"
8529912,0.0,2031-02-18,"5828 days, 00:00:00"
8530430,1.4887499999999996,2030-05-10,"5544 days, 00:00:00"
8530635,0.8458652558379121,2032-06-25,"6321 days, 00:00:00"
8530189,0.9149999999999997,2031-04-16,"5885 days, 00:00:00"
8524244,1.7944312500000001,2029-02-10,"5090 days, 00:00:00"
8518415,0.4209375,2030-05-20,"5554 days, 00:00:00"
8512709,0.7577499999999999,2029-10-16,"5338 days, 00:00:00"
8512708,0.40499999999999997,2029-03-12,"5120 days, 00:00:00"
8512706,3.4893312500000024,2031-11-17,"6100 days, 00:00:00"
8507249,0.9723749999999997,2031-07-13,"5973 days, 00:00:00"
8501912,16.82133928571428,2028-12-08,"5026 days, 00:00:00"
8501167,3.2610000000000006,2028-01-17,"4700 days, 00:00:00"
8501189,0.8857281249999999,2031-12-29,"6142 days, 00:00:00"
8497072,27.41706876941245,2026-11-30,"4287 days, 00:00:00"
8492516,1.9137499999999994,2032-03-09,"6213 days, 00:00:00"
8491910,0.432359375,2029-08-14,"5275 days, 00:00:00"
8491909,0.46875,2025-02-07,"3626 days, 00:00:00"
8491914,1.8599542579215664,2030-12-09,"5757 days, 00:00:00"
8491890,0.21375,2029-07-09,"5239 days, 00:00:00"
8486411,0.49796874999999996,2026-08-29,"4194 days, 00:00:00"
8486413,0.27749999999999997,2031-12-08,"6121 days, 00:00:00"
8486412,0.49,2027-06-01,"4470 days, 00:00:00"
8481056,0.40499999999999997,2031-09-19,"6041 days, 00:00:00"
8475801,1.093580492424242,2032-08-01,"6358 days, 00:00:00"
8475802,0.36371428571428566,2027-02-05,"4354 days, 00:00:00"
8475809,0.1925,2029-10-06,"5328 days, 00:00:00"
8476024,0.0,2026-10-30,"4256 days, 00:00:00"
8475800,0.0,2030-10-27,"5714 days, 00:00:00"
8470335,0.0,2028-06-13,"4848 days, 00:00:00"
8470339,0.21375,2027-11-06,"4628 days, 00:00:00"
8470341,0.27749999999999997,2029-02-23,"5103 days, 00:00:00"
8470332,1.1083749999999999,2027-11-21,"4643 days, 00:00:00"
8470313,1.2930906249999998,2030-05-06,"5540 days, 00:00:00"
8470333,2.483094446813157,2030-02-01,"5446 days, 00:00:00"
8465743,2.6079387799700293,2030-09-14,"5671 days, 00:00:00"
8466104,0.42625,2025-08-26,"3826 days, 00:00:00"
8465746,0.0,2028-10-22,"4979 days, 00:00:00"
8466268,0.0,2030-08-25,"5651 days, 00:00:00"
8460672,0.0,2030-09-29,"5686 days, 00:00:00"
8460890,0.27749999999999997,2030-05-28,"5562 days, 00:00:00"
8460673,0.2114845982142857,2029-09-29,"5321 days, 00:00:00"
8461323,0.94358125,2032-01-09,"6153 days, 00:00:00"
8460675,0.31288125,2032-07-05,"6331 days, 00:00:00"
8455441,1.7596875000000005,2032-03-07,"6211 days, 00:00:00"
8454967,3.5271562499999987,2030-05-24,"5558 days, 00:00:00"
8454968,0.6812499999999999,2029-08-05,"5266 days, 00:00:00"
8454977,0.7193273437499998,2031-07-08,"5968 days, 00:00:00"
8454960,4.405878246753247,2031-07-14,"5974 days, 00:00:00"
8454963,0.734375,2025-04-28,"3706 days, 00:00:00"
8450462,0.6599999999999999,2030-06-23,"5588 days, 00:00:00"
8450273,1.2974999999999997,2028-04-09,"4783 days, 00:00:00"
8449891,0.0,2030-08-09,"5635 days, 00:00:00"
8444995,0.36371428571428566,2032-05-07,"6272 days, 00:00:00"
8445230,6.920601151948687,2031-01-21,"5800 days, 00:00:00"
8444994,0.46875,2029-06-30,"5230 days, 00:00:00"
8440200,0.1925,2027-11-01,"4623 days, 00:00:00"
8440206,4.598915052083335,2031-12-20,"6133 days, 00:00:00"
8440204,0.46874999999999994,2030-04-29,"5533 days, 00:00:00"
8440208,0.8228104166666665,2028-05-01,"4805 days, 00:00:00"
8440205,1.0088035714285712,2025-03-03,"3650 days, 00:00:00"
8440201,6.64534583333334,2031-08-31,"6022 days, 00:00:00"
8435530,0.40499999999999997,2025-06-09,"3748 days, 00:00:00"
8435532,0.0,2032-08-07,"6364 days, 00:00:00"
8435538,0.309375,2029-04-14,"5153 days, 00:00:00"
8435535,1.0424999999999998,2032-02-14,"6189 days, 00:00:00"
8435534,0.46875,2030-12-22,"5770 days, 00:00:00"
8435494,0.5325,2031-05-13,"5912 days, 00:00:00"
8431530,0.2809326923076923,2030-05-20,"5554 days, 00:00:00"
8425914,0.8607062499999998,2029-06-24,"5224 days, 00:00:00"
8420096,0.7237499999999999,2025-03-04,"3651 days, 00:00:00"
8420098,2.4832499999999995,2031-04-13,"5882 days, 00:00:00"
8420095,0.8193749999999999,2024-04-28,"3341 days, 00:00:00"
8420097,0.41489104492187495,2030-07-09,"5604 days, 00:00:00"
8414899,3.860776135340354,2027-04-11,"4419 days, 00:00:00"
8409584,0.8347812499999998,2030-05-05,"5539 days, 00:00:00"
8409582,0.0,2032-02-10,"6185 days, 00:00:00"
8409580,2.149625,2030-08-30,"5656 days, 00:00:00"
8409581,0.46874999999999994,2029-06-12,"5212 days, 00:00:00"
8404243,0.34125,2029-11-30,"5383 days, 00:00:00"
8404826,1.3898942755681818,2031-08-30,"6021 days, 00:00:00"
8404638,0.7525892857142855,2032-01-04,"6148 days, 00:00:00"
8398992,0.27749999999999997,2031-12-22,"6135 days, 00:00:00"
8399650,1.3898942755681825,2031-08-22,"6013 days, 00:00:00"
8398988,1.0956249999999996,2032-02-23,"6198 days, 00:00:00"
8398987,0.27749999999999997,2028-01-18,"4701 days, 00:00:00"
8398986,0.0,2024-04-08,"3321 days, 00:00:00"
8394383,0.0,2028-07-03,"4868 days, 00:00:00"
8394384,1.1699999999999997,2029-11-30,"5383 days, 00:00:00"
8394387,0.34124999999999994,2027-07-31,"4530 days, 00:00:00"
8388976,0.0,2032-08-17,"6374 days, 00:00:00"
8388966,17.480000907463666,2028-08-08,"4904 days, 00:00:00"
8389469,2.461696428571428,2026-05-31,"4104 days, 00:00:00"
8389472,0.30937499999999996,2026-08-21,"4186 days, 00:00:00"
8388933,0.181875,2031-04-15,"5884 days, 00:00:00"
8388975,1.1318916666666665,2029-09-04,"5296 days, 00:00:00"
8383768,9.06410012761826,2030-05-07,"5541 days, 00:00:00"
8383125,0.0,2027-03-23,"4400 days, 00:00:00"
8383119,0.6759375000000001,2030-07-19,"5614 days, 00:00:00"
8377448,6.008366504329009,2030-01-14,"5428 days, 00:00:00"
8372412,0.7237499999999999,2026-12-22,"4309 days, 00:00:00"
8377447,1.8215068207859844,2024-09-07,"3473 days, 00:00:00"
RE44024,1.0212499999999998,2030-05-13,"5547 days, 00:00:00"
8372406,0.46025,2024-12-30,"3587 days, 00:00:00"
8372398,3.719999999999999,2030-06-24,"5589 days, 00:00:00"
8367069,1.5721309523809521,2030-12-02,"5750 days, 00:00:00"
8367073,0.8607062499999998,2031-03-23,"5861 days, 00:00:00"
8367071,0.8512499999999998,2023-02-13,"2901 days, 00:00:00"
8367067,0.245625,2029-06-19,"5219 days, 00:00:00"
8361479,0.19674999999999998,2027-08-09,"4539 days, 00:00:00"
8361749,0.0,2030-11-18,"5736 days, 00:00:00"
8361482,0.27749999999999997,2029-11-13,"5366 days, 00:00:00"
8354240,0.44814547258297255,2031-12-05,"6118 days, 00:00:00"
8354111,0.40499999999999997,2029-04-16,"5155 days, 00:00:00"
8349333,0.30937499999999996,2026-12-22,"4309 days, 00:00:00"
8349334,0.30937499999999996,2031-06-30,"5960 days, 00:00:00"
8343500,0.40924999999999995,2027-10-31,"4622 days, 00:00:00"
8343503,0.181875,2030-02-09,"5454 days, 00:00:00"
8343504,0.27749999999999997,2026-10-26,"4252 days, 00:00:00"
8343502,3.578209375000001,2029-12-21,"5404 days, 00:00:00"
8343501,0.8321249999999998,2029-11-24,"5377 days, 00:00:00"
8337857,0.0,2026-06-20,"4124 days, 00:00:00"
8333953,0.436875,2030-05-18,"5552 days, 00:00:00"
8333972,0.34124999999999994,2027-08-16,"4546 days, 00:00:00"
8333973,2.3174999999999994,2028-12-31,"5049 days, 00:00:00"
8329186,1.2571249999999996,2029-11-02,"5355 days, 00:00:00"
8329190,0.59625,2028-10-07,"4964 days, 00:00:00"
8329958,2.6362499999999995,2025-07-05,"3774 days, 00:00:00"
8329144,3.576167857142859,2026-11-03,"4260 days, 00:00:00"
8323656,0.59625,2027-06-25,"4494 days, 00:00:00"
8323659,0.27749999999999997,2029-09-11,"5303 days, 00:00:00"
8323657,1.1916573838975695,2027-10-02,"4593 days, 00:00:00"
8318180,0.40499999999999997,2029-09-23,"5315 days, 00:00:00"
8318174,0.4426704545454545,2024-01-30,"3252 days, 00:00:00"
8318176,1.9087608878728688,2031-01-21,"5800 days, 00:00:00"
8318175,0.6015473214285713,2029-02-05,"5085 days, 00:00:00"
8318438,0.27749999999999997,2028-02-27,"4741 days, 00:00:00"
8318177,0.31288125,2031-01-19,"5798 days, 00:00:00"
8318173,0.0,2022-04-05,"2587 days, 00:00:00"
8313748,0.43753906249999996,2028-04-14,"4788 days, 00:00:00"
8309096,1.2830499999999998,2029-07-15,"5245 days, 00:00:00"
8303962,6.620625000000007,2030-01-06,"5420 days, 00:00:00"
8303963,0.21375,2030-09-30,"5687 days, 00:00:00"
8298551,0.181875,2029-09-28,"5320 days, 00:00:00"
8298547,1.2848304924242422,2029-12-09,"5392 days, 00:00:00"
8298545,0.34125,2028-01-25,"4708 days, 00:00:00"
8298544,0.8512499999999998,2027-02-27,"4376 days, 00:00:00"
8298546,0.7125937499999999,2029-09-29,"5321 days, 00:00:00"
